City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,American Indian and Alaska Native,Asian,Black or African-American,Hispanic or Latino,White
Berkeley,California,32.5,60142.0,60829.0,120971,3736.0,25000.0,2.35,CA,1868,27089,11255,15429,82949
Santa Clara,California,35.2,63278.0,62938.0,126216,4426.0,52281.0,2.75,CA,1354,58360,4580,22402,55847
Allen,Pennsylvania,33.5,60626.0,59581.0,120207,5691.0,19652.0,2.67,PA,1076,2670,22304,59176,74187
Hampton,Virginia,35.5,66214.0,70240.0,136454,19638.0,6204.0,2.48,VA,2534,4561,70303,7513,61753
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,2951.0,15212.0,3.42,IL,323,9788,12671,16904,40458
Frederick,Maryland,36.1,33146.0,36336.0,69482,3870.0,14211.0,2.48,MD,1333,5711,13372,13065,49181
Sparks,Nevada,36.1,47780.0,48318.0,96098,7315.0,15690.0,2.63,NV,2019,7915,4226,29159,78737
Rancho Cordova,California,33.8,34844.0,36182.0,71026,4590.0,17020.0,2.86,CA,1940,12653,9307,13970,47757
Westminster,Colorado,37.8,54866.0,58251.0,113117,6512.0,11361.0,2.63,CO,1444,8668,3228,23355,100084
Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,2597,7340,2679,33630,139669
Flint,Michigan,35.3,48984.0,49313.0,98297,3757.0,2138.0,2.38,MI,1508,657,55137,2525,44786
New Haven,Connecticut,29.9,63765.0,66545.0,130310,2567.0,25871.0,2.48,CT,2205,7966,43356,43563,56251
Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,3506.0,17490.0,2.85,MN,1173,14443,22550,4138,41760
Chula Vista,California,34.6,131485.0,134269.0,265754,12368.0,82710.0,3.32,CA,1652,48506,15641,156522,183753
Danbury,Connecticut,37.3,43435.0,41227.0,84662,3752.0,25675.0,2.74,CT,1086,7350,8454,25145,55917
Framingham,Massachusetts,40.3,35442.0,35768.0,71210,2625.0,19070.0,2.49,MA,849,5993,6944,13000,52205
Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,20247.0,28567.0,2.42,FL,2716,10893,67798,20483,179121
Miami Gardens,Florida,34.9,50719.0,62480.0,113199,2327.0,33394.0,3.75,FL,0,0,85300,23287,27273
Salt Lake City,Utah,32.1,98364.0,94296.0,192660,6829.0,32166.0,2.38,UT,3488,13153,5365,40559,150136
Suffolk,Virginia,38.2,43048.0,45113.0,88161,10114.0,2829.0,2.72,VA,504,2248,39107,3539,46458
North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,4130.0,2787.0,2.62,AR,713,0,30766,4860,34118
Jurupa Valley,California,33.8,49430.0,50884.0,100314,3833.0,25338.0,3.87,CA,1554,4992,3091,66525,58201
Los Angeles,California,35.0,1958998.0,2012898.0,3971896,85417.0,1485425.0,2.86,CA,63758,512999,404868,1936732,2177650
Flower Mound,Texas,40.2,35200.0,35824.0,71024,4217.0,6860.0,3.01,TX,1095,6577,3559,6149,61433
Vacaville,California,35.8,50091.0,46703.0,96794,9064.0,10577.0,2.9,CA,3140,9273,18023,23395,66825
Clarksville,Tennessee,29.7,75029.0,74161.0,149190,20803.0,8211.0,2.64,TN,2338,6348,39445,16004,104626
New Britain,Connecticut,33.4,37350.0,35459.0,72809,2219.0,15080.0,2.52,CT,0,2297,9873,30188,56431
Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,24672.0,43751.0,2.37,OK,42129,16318,72643,61217,279127
Seattle,Washington,35.5,345659.0,338784.0,684443,29364.0,119840.0,2.13,WA,12804,121507,61974,43060,511401
Mesa,Arizona,36.9,234998.0,236835.0,471833,31808.0,57492.0,2.68,AZ,16044,14608,22699,131425,413010
Yonkers,New York,38.0,96580.0,104538.0,201118,4801.0,61247.0,2.8,NY,1112,13981,38731,73608,129492
Camden,New Jersey,27.9,36437.0,39694.0,76131,1425.0,11317.0,3.0,NJ,0,1686,35237,41473,19907
Alexandria,Virginia,36.6,74989.0,78522.0,153511,10635.0,44030.0,2.2,VA,1133,13315,37168,25573,106215
Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,3682.0,3222.0,2.44,AR,2109,1282,14599,4614,56626
El Monte,California,37.3,57961.0,58784.0,116745,1686.0,59655.0,3.67,CA,718,33384,307,77523,64138
Roswell,Georgia,38.8,48637.0,45859.0,94496,3325.0,16501.0,2.7,GA,585,7240,15458,16920,69857
Omaha,Nebraska,34.2,218789.0,225098.0,443887,24503.0,48263.0,2.47,NE,6318,19105,64223,63516,353417
Troy,Michigan,43.3,42371.0,40905.0,83276,2975.0,21004.0,2.59,MI,1677,22721,5294,2400,56175
Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,14521.0,24302.0,2.47,NC,1415,6484,87480,38321,139301
Corpus Christi,Texas,35.0,160488.0,163594.0,324082,25078.0,30834.0,2.69,TX,2972,9051,14978,200737,292663
Atlanta,Georgia,33.8,223960.0,239915.0,463875,18572.0,32016.0,2.15,GA,4606,24268,245367,18653,196316
Bryan,Texas,29.4,41761.0,40345.0,82106,3602.0,12014.0,2.55,TX,3557,2688,11914,29647,59742
Lynchburg,Virginia,28.7,38614.0,41198.0,79812,4322.0,4364.0,2.48,VA,1024,2910,23271,2689,53727
Columbia,Maryland,37.9,52202.0,51265.0,103467,6526.0,23249.0,2.68,MD,488,17821,30075,8033,58343
Killeen,Texas,29.2,69442.0,71367.0,140809,24281.0,15769.0,2.72,TX,2362,8183,54601,32600,75823
Nashville,Tennessee,34.1,314231.0,340365.0,654596,27942.0,88193.0,2.39,TN,5474,27355,188844,67526,432447
Somerville,Massachusetts,31.0,41028.0,39306.0,80334,2103.0,22292.0,2.43,MA,374,9498,7140,8790,62927
Bakersfield,California,30.6,182154.0,191473.0,373627,12284.0,71575.0,3.23,CA,7357,31929,34240,180241,272853
Montgomery,Alabama,35.4,94582.0,106004.0,200586,14955.0,9337.0,2.41,AL,1277,6518,121360,6648,73545
Huntsville,Alabama,38.1,91764.0,97350.0,189114,16637.0,12691.0,2.18,AL,1755,6566,61561,10887,121904
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,14011.0,26667.0,2.36,NC,3688,12683,124108,22147,144930
Turlock,California,36.2,33190.0,39103.0,72293,3397.0,14686.0,2.76,CA,1187,5232,2307,23559,59308
Lynwood,California,29.4,35634.0,36371.0,72005,776.0,28061.0,4.43,CA,0,994,5346,63377,48670
El Paso,Texas,33.1,332797.0,348339.0,681136,47693.0,159709.0,3.03,TX,7359,12370,34473,542017,587683
Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,16661.0,28613.0,2.34,KY,3187,14066,51493,21766,249339
Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,4755.0,2413.0,2.29,SC,610,1073,28204,2845,41652
Richardson,Texas,35.5,54676.0,56151.0,110827,4797.0,29579.0,2.83,TX,1439,20724,13256,15762,76116
Waco,Texas,29.3,63452.0,68890.0,132342,10716.0,14235.0,2.57,TX,794,4230,29883,40585,96958
San Buenaventura,California,37.7,53932.0,55785.0,109717,5980.0,18025.0,2.68,CA,2808,6547,1300,38463,95139
Stamford,Connecticut,35.4,64941.0,63936.0,128877,2269.0,44003.0,2.7,CT,1416,11013,24329,33197,85620
Vallejo,California,37.8,58379.0,62890.0,121269,8103.0,30592.0,2.83,CA,1671,34753,26778,28977,56169
Denver,Colorado,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33,CO,14008,32491,72288,207847,546370
Springdale,Arkansas,31.8,36840.0,43614.0,80454,3397.0,19969.0,3.04,AR,547,1422,1859,30200,56843
Chino,California,36.5,50989.0,34610.0,85599,4186.0,18666.0,3.62,CA,4790,12948,6815,45495,44543
Toms River,New Jersey,43.7,43864.0,43886.0,87750,5042.0,6852.0,2.71,NJ,251,4691,3703,10267,79538
Lynn,Massachusetts,34.8,44598.0,47861.0,92459,3093.0,29899.0,2.81,MA,1176,9205,18240,33250,50652
Lawton,Oklahoma,31.1,51099.0,45560.0,96659,11572.0,6123.0,2.72,OK,10027,5173,25767,13780,63948
Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,3083,27217,40507,90989,154484
Layton,Utah,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24,UT,1674,2889,2710,10123,65333
Bloomington,Illinois,35.1,37972.0,40323.0,78295,3888.0,7287.0,2.34,IL,182,6549,11240,3461,60652
Newton,Massachusetts,42.3,41985.0,46824.0,88809,1814.0,21692.0,2.71,MA,244,15666,2925,4790,69380
Clearwater,Florida,47.0,55225.0,57754.0,112979,10631.0,17686.0,2.4,FL,867,2434,12369,17211,97195
Kenner,Louisiana,36.9,33993.0,33113.0,67106,2485.0,12352.0,2.57,LA,158,2729,17172,17769,44863
Las Cruces,New Mexico,32.7,47835.0,53809.0,101644,9421.0,11888.0,2.58,NM,2368,3266,3825,60614,91201
Yakima,Washington,34.0,45147.0,48553.0,93700,4705.0,15717.0,2.74,WA,2042,2248,924,44172,79286
Des Moines,Iowa,34.5,103726.0,106591.0,210317,11780.0,23857.0,2.41,IA,3964,15205,26353,25306,168057
Wichita Falls,Texas,34.0,55775.0,48934.0,104709,7800.0,9855.0,2.41,TX,1503,3688,14529,23061,82860
Wilmington,North Carolina,35.5,52346.0,63601.0,115947,5908.0,7401.0,2.24,NC,742,3152,23578,6811,89270
Cranston,Rhode Island,39.9,38365.0,42712.0,81077,4702.0,10631.0,2.56,RI,839,5978,8193,10418,64806
Amarillo,Texas,33.8,99391.0,100260.0,199651,11008.0,21124.0,2.64,TX,4260,8563,14050,65392,174214
Buffalo,New York,33.1,124537.0,133529.0,258066,11231.0,24630.0,2.27,NY,4406,14518,101254,29656,130078
Livonia,Michigan,47.4,45369.0,49264.0,94633,5397.0,7175.0,2.52,MI,445,2719,4633,1772,87383
San Leandro,California,41.8,43032.0,47679.0,90711,4111.0,34293.0,2.79,CA,1540,34019,11100,26894,40182
Fresno,California,30.0,256130.0,263942.0,520072,18410.0,103453.0,3.12,CA,11380,75318,46072,256145,325651
Saint George,Utah,37.3,38732.0,41475.0,80207,4443.0,4824.0,2.81,UT,2406,1649,1376,10829,71915
San Juan,Puerto Rico,41.4,155408.0,186829.0,342237,,,,PR,4031,2452,0,335559,0
Redlands,California,36.2,33993.0,37035.0,71028,3445.0,8681.0,2.82,CA,811,6255,6973,19698,55241
Thousand Oaks,California,44.8,65113.0,64216.0,129329,6323.0,25330.0,2.79,CA,2690,16134,3229,26754,108375
Rio Rancho,New Mexico,38.3,47251.0,46904.0,94155,8527.0,5200.0,2.86,NM,4857,2374,3970,38674,73022
Provo,Utah,23.6,56231.0,59027.0,115258,2177.0,10925.0,3.28,UT,1916,4104,1062,16668,108471
Tallahassee,Florida,26.2,89390.0,100504.0,189894,9575.0,16720.0,2.38,FL,1368,10035,69135,13538,112800
Aurora,Illinois,31.7,101964.0,101751.0,203715,4988.0,50980.0,3.3,IL,1179,17190,23736,86653,115903
Minneapolis,Minnesota,32.4,206547.0,204388.0,410935,15217.0,70769.0,2.26,MN,9238,33854,89996,39981,277862
Anaheim,California,33.6,179603.0,171135.0,350738,9796.0,137133.0,3.45,CA,2489,53270,9775,201593,259820
San Marcos,California,35.4,45246.0,47688.0,92934,5189.0,21558.0,3.13,CA,821,11519,4447,35164,72061
Norwalk,California,35.0,53125.0,54020.0,107145,3027.0,39396.0,3.88,CA,1165,16189,5195,76020,46998
Fort Worth,Texas,32.6,414126.0,422843.0,836969,39182.0,143404.0,2.88,TX,7504,42053,167449,296133,575180
Cambridge,Massachusetts,31.5,55421.0,54981.0,110402,2495.0,27757.0,2.06,MA,906,18441,11880,9433,80551
Deerfield Beach,Florida,41.4,37155.0,42614.0,79769,3882.0,23642.0,2.46,FL,698,1428,25344,12729,53037
Beaumont,Texas,31.6,57326.0,60784.0,118110,7584.0,10516.0,2.47,TX,908,4079,58008,18815,53597
Spring Valley,Nevada,37.0,96808.0,97147.0,193955,10644.0,61072.0,2.79,NV,2215,45059,29031,40374,111763
Sioux City,Iowa,34.3,38827.0,43949.0,82776,4093.0,7471.0,2.57,IA,1956,3400,3994,15602,70513
Alafaya,Florida,33.5,39504.0,45760.0,85264,4176.0,15842.0,2.94,FL,0,10336,6577,34897,63666
Washington,District of Columbia,33.8,319705.0,352523.0,672228,25963.0,95117.0,2.24,DC,6130,35072,328786,71129,285402
Grand Prairie,Texas,33.1,90811.0,96944.0,187755,7073.0,44888.0,3.18,TX,1754,11446,54934,85543,113981
Waukesha,Wisconsin,35.8,36263.0,35713.0,71976,3116.0,4982.0,2.35,WI,481,2904,1923,9713,66757
Miami Beach,Florida,42.5,48090.0,44221.0,92311,2265.0,49908.0,2.1,FL,0,2772,4013,47446,72180
North Las Vegas,Nevada,32.2,116350.0,118443.0,234793,17256.0,49815.0,3.31,NV,4739,20273,54093,94804,137357
Fort Smith,Arkansas,34.9,43346.0,44849.0,88195,3408.0,13177.0,2.44,AR,2993,6228,9851,17104,66004
Salinas,California,30.4,77765.0,79621.0,157386,4020.0,58693.0,3.72,CA,2855,11227,3391,121196,95283
Springfield,Illinois,38.8,55639.0,62170.0,117809,7525.0,4264.0,2.22,IL,1602,3871,25327,2738,90935
Bellingham,Washington,30.7,41286.0,43857.0,85143,4703.0,8713.0,2.44,WA,2056,8010,2325,6966,74183
Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,5519.0,9813.0,2.37,WI,6547,5652,7561,16786,82033
Maple Grove,Minnesota,38.6,31780.0,36601.0,68381,2943.0,7645.0,2.64,MN,549,6088,2951,1685,59683
Escondido,California,33.3,76551.0,74907.0,151458,8110.0,46298.0,3.27,CA,3151,14398,5631,73793,120781
Rockford,Illinois,36.3,71076.0,78270.0,149346,8894.0,18323.0,2.52,IL,2301,5500,33122,28923,107148
Memphis,Tennessee,34.1,312237.0,343523.0,655760,31189.0,43318.0,2.55,TN,4127,15778,420983,46621,202961
Caguas,Puerto Rico,40.4,34743.0,42265.0,77008,,,,PR,624,0,0,76349,0
Metairie,Louisiana,41.6,69515.0,76943.0,146458,7187.0,19871.0,2.39,LA,438,4791,17263,19703,124270
Tracy,California,35.5,43156.0,43937.0,87093,3025.0,25410.0,3.42,CA,2120,16856,5241,32810,58041
Champaign,Illinois,28.7,43326.0,42760.0,86086,3734.0,12261.0,2.25,IL,0,11746,16163,4015,58099
West Palm Beach,Florida,39.6,49262.0,57520.0,106782,4917.0,30675.0,2.53,FL,406,3191,39226,26132,60648
Beaverton,Oregon,35.6,47325.0,49252.0,96577,4645.0,18933.0,2.46,OR,905,10538,3100,15452,80975
Ogden,Utah,31.3,44323.0,41127.0,85450,5080.0,12791.0,2.68,UT,1717,1911,2620,28275,74960
Decatur,Illinois,40.4,34646.0,38210.0,72856,5291.0,1224.0,2.23,IL,265,1343,17939,1709,56231
Pompano Beach,Florida,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55,FL,2138,1089,38653,23225,67360
Nashua,New Hampshire,38.3,42926.0,45049.0,87975,5532.0,12693.0,2.46,NH,655,9685,4147,10511,73977
Vancouver,Washington,37.2,82958.0,89895.0,172853,12391.0,21748.0,2.49,WA,4541,10882,7520,23184,149863
Fargo,North Dakota,30.7,60560.0,58690.0,119250,6154.0,9428.0,2.18,ND,3102,4646,6477,3567,107349
El Cajon,California,32.7,54450.0,49238.0,103688,7103.0,31865.0,3.14,CA,1891,4561,7534,31542,84703
Lancaster,California,30.9,80668.0,80445.0,161113,7892.0,17247.0,3.25,CA,2186,8654,36007,57423,110311
Wilmington,Delaware,36.4,32680.0,39277.0,71957,3063.0,3336.0,2.45,DE,414,1193,44182,5516,23743
Miramar,Florida,36.6,66157.0,70958.0,137115,3077.0,57179.0,3.41,FL,0,12084,65840,46767,58914
Riverview,Florida,32.2,44210.0,45536.0,89746,6943.0,12240.0,3.22,FL,726,3582,15159,23317,60793
Arlington Heights,Illinois,45.9,37627.0,39369.0,76996,3027.0,14630.0,2.38,IL,0,9975,1222,2742,66285
Lorain,Ohio,35.6,30844.0,32807.0,63651,4905.0,1531.0,2.52,OH,904,308,16388,19342,46667
Mesquite,Texas,34.6,69240.0,75884.0,145124,6438.0,26755.0,2.96,TX,2564,4496,37339,56753,98597
Appleton,Wisconsin,35.6,37217.0,38038.0,75255,4219.0,4454.0,2.49,WI,835,5561,3407,5139,64674
Johns Creek,Georgia,39.0,40282.0,43057.0,83339,1983.0,29000.0,3.19,GA,826,24289,11273,5924,48414
Nampa,Idaho,31.4,45651.0,44199.0,89850,4736.0,6607.0,2.98,ID,2167,1486,1600,22066,80776
Sterling Heights,Michigan,39.6,64985.0,67077.0,132062,6970.0,34313.0,2.66,MI,0,12264,8054,2811,112743
Tacoma,Washington,37.7,100914.0,107036.0,207950,19040.0,31863.0,2.48,WA,5549,26909,30914,25764,149859
Manchester,New Hampshire,37.3,54845.0,55378.0,110223,5473.0,14506.0,2.4,NH,558,4304,6896,11962,100108
Overland Park,Kansas,38.2,93355.0,93156.0,186511,10461.0,21407.0,2.41,KS,1264,17123,10685,10104,161153
Cicero,Illinois,28.5,43153.0,40714.0,83867,629.0,33801.0,3.89,IL,964,1193,2865,76425,30824
Weston,Florida,38.6,32956.0,36991.0,69947,1507.0,30876.0,3.34,FL,128,4130,3697,36687,61021
Meridian,Idaho,38.0,43353.0,47400.0,90753,5640.0,8110.0,2.54,ID,492,2693,1809,6596,84625
Trenton,New Jersey,33.3,42581.0,41650.0,84231,2604.0,20428.0,3.04,NJ,98,1437,43471,30613,37683
Temecula,California,34.2,54407.0,57619.0,112026,7587.0,18884.0,3.34,CA,2236,14532,5698,36246,85130
Saint Charles,Missouri,34.9,32054.0,36747.0,68801,4371.0,5274.0,2.33,MO,681,3392,6842,4070,58662
Antioch,California,34.0,54733.0,55809.0,110542,5681.0,24942.0,3.31,CA,3462,14333,23227,35563,51151
Eugene,Oregon,33.4,79071.0,84377.0,163448,8896.0,14503.0,2.34,OR,5035,11073,5632,17356,146807
Edinburg,Texas,29.3,39422.0,45079.0,84501,2409.0,16569.0,3.31,TX,0,812,0,74698,77560
Huntington Beach,California,41.6,99967.0,101960.0,201927,10454.0,35368.0,2.67,CA,2843,29095,4027,42303,156071
Torrance,California,41.2,73209.0,75259.0,148468,8459.0,43096.0,2.7,CA,3638,54317,5906,25699,80498
South Bend,Indiana,32.4,50483.0,53274.0,103757,3708.0,8779.0,2.72,IN,411,1788,30005,16462,71391
Bethlehem,Pennsylvania,35.1,35861.0,38506.0,74367,4704.0,6295.0,2.46,PA,0,3759,7821,23409,64526
Lakewood,California,39.9,41523.0,40069.0,81592,4094.0,18274.0,3.13,CA,398,18999,6123,24987,43766
Birmingham,Alabama,35.6,102122.0,112789.0,214911,13212.0,8258.0,2.21,AL,1319,1500,157985,8940,51728
Hawthorne,California,33.7,43682.0,44762.0,88444,2123.0,32107.0,2.97,CA,906,7601,21566,50115,23665
Boca Raton,Florida,47.3,44760.0,48466.0,93226,4367.0,21117.0,2.22,FL,556,2494,4527,14735,80781
Vista,California,29.3,50680.0,50204.0,100884,4957.0,23271.0,3.52,CA,0,7189,5164,49524,83529
Brockton,Massachusetts,35.2,46273.0,49041.0,95314,3036.0,27313.0,2.88,MA,881,2528,43646,10890,40110
New Rochelle,New York,40.6,38871.0,40967.0,79838,2780.0,26960.0,2.85,NY,645,4218,17723,23548,44435
Dearborn,Michigan,33.5,46482.0,48698.0,95180,3163.0,23920.0,3.04,MI,713,4134,3699,3533,88742
Charleston,South Carolina,35.0,63956.0,71568.0,135524,9368.0,5767.0,2.4,SC,633,2773,29998,3929,104016
Elizabeth,New Jersey,34.2,65896.0,63116.0,129012,1131.0,63413.0,3.18,NJ,797,3369,29822,86456,70873
Syracuse,New York,30.3,69462.0,74690.0,144152,5845.0,17733.0,2.39,NY,3606,9386,46026,13368,88679
Redding,California,38.8,42530.0,49049.0,91579,6926.0,5181.0,2.42,CA,4352,5271,2112,9143,81244
Scottsdale,Arizona,46.9,115712.0,121132.0,236844,16798.0,27207.0,2.17,AZ,7003,11555,5279,24766,205512
Glendale,Arizona,34.4,116795.0,123319.0,240114,13241.0,44133.0,2.89,AZ,4064,15245,16254,83711,202539
Fishers,Indiana,34.5,42161.0,43910.0,86071,2469.0,6138.0,2.8,IN,0,7571,6873,3409,73361
Waldorf,Maryland,33.6,35640.0,39872.0,75512,6932.0,5954.0,2.69,MD,1918,4100,47334,4810,26788
Las Vegas,Nevada,37.5,310568.0,313201.0,623769,42397.0,127609.0,2.79,NV,8456,55745,84987,204913,429142
Victoria,Texas,35.8,32290.0,35291.0,67581,5000.0,4480.0,2.7,TX,0,2032,6058,34409,58798
Anchorage,Alaska,32.2,152945.0,145750.0,298695,27492.0,33258.0,2.77,AK,36339,36825,23107,27261,212696
San Diego,California,34.5,693826.0,701081.0,1394907,92489.0,373842.0,2.73,CA,16496,267222,111650,425414,949388
Dayton,Ohio,32.8,66631.0,73966.0,140597,8465.0,7381.0,2.26,OH,2010,1885,57280,4945,86016
Glendale,California,42.1,98181.0,102844.0,201025,4448.0,111510.0,2.69,CA,474,42070,4619,30807,146718
Auburn,Washington,37.1,36837.0,39743.0,76580,5401.0,14842.0,2.73,WA,3042,12341,4032,10836,58293
Peoria,Arizona,36.9,80139.0,91103.0,171242,13019.0,14260.0,2.97,AZ,3108,6631,8514,41129,151232
Charlotte,North Carolina,34.3,396646.0,430475.0,827121,36046.0,128897.0,2.52,NC,8746,55399,301568,113731,446795
Gulfport,Mississippi,35.1,33108.0,38764.0,71872,6646.0,3072.0,2.54,MS,0,1723,27799,4247,42870
Abilene,Texas,31.3,65212.0,60664.0,125876,9367.0,8129.0,2.64,TX,1813,2929,14449,33222,95487
Centreville,Virginia,36.0,34749.0,37033.0,71782,3779.0,27797.0,2.97,VA,355,25058,6724,9613,39129
Pleasanton,California,41.3,36662.0,42857.0,79519,2424.0,23208.0,2.87,CA,608,27662,1919,7949,49934
Westminster,California,42.9,45538.0,46573.0,92111,3435.0,42227.0,3.27,CA,1022,46560,2270,19111,37593
Waterbury,Connecticut,36.2,52235.0,56572.0,108807,3493.0,19967.0,2.71,CT,492,4080,26972,38222,69075
Davie,Florida,40.8,48754.0,52140.0,100894,4655.0,26532.0,2.72,FL,464,4581,11005,35311,79832
Houston,Texas,32.6,1149686.0,1148942.0,2298628,71898.0,696210.0,2.66,TX,13157,173854,529431,1028148,1386389
Concord,California,39.6,62310.0,66358.0,128668,6287.0,37428.0,2.72,CA,1447,17453,6150,41400,92575
Eagan,Minnesota,36.8,31587.0,34701.0,66288,2699.0,8642.0,2.49,MN,684,6923,8032,4328,52612
Duluth,Minnesota,34.7,41271.0,44855.0,86126,5015.0,2258.0,2.25,MN,1894,1721,3891,1981,81720
Carolina,Puerto Rico,42.0,64758.0,77308.0,142066,,,,PR,12143,0,0,139967,0
Ellicott City,Maryland,42.4,34406.0,36526.0,70932,3856.0,17587.0,2.73,MD,396,22551,6089,1602,43537
Port Saint Lucie,Florida,42.1,84069.0,95341.0,179410,12416.0,34003.0,2.91,FL,1536,7967,32986,34240,135049
Greeley,Colorado,31.0,50792.0,50091.0,100883,4294.0,11480.0,2.75,CO,2449,2202,2856,39271,92874
Ames,Iowa,23.0,33814.0,31238.0,65052,2265.0,8606.0,2.16,IA,0,8979,1103,2024,56157
West Jordan,Utah,30.8,57898.0,54044.0,111942,3577.0,11492.0,3.46,UT,1211,3539,3179,21315,100150
Chico,California,29.9,46168.0,44168.0,90336,4519.0,8425.0,2.5,CA,2766,6101,3164,15578,80467
Chino Hills,California,41.9,39639.0,38674.0,78313,3358.0,24764.0,3.05,CA,1773,28132,3506,22539,40030
New Bedford,Massachusetts,38.6,43793.0,51166.0,94959,4185.0,19024.0,2.39,MA,346,1811,8890,18336,63938
San Bernardino,California,28.5,108671.0,107466.0,216137,7741.0,55135.0,3.55,CA,4520,12981,36393,136214,123174
Longmont,Colorado,36.8,43941.0,48280.0,92221,4925.0,10424.0,2.63,CO,1682,2255,1782,24846,85853
Lincoln,Nebraska,32.3,138544.0,138802.0,277346,14694.0,22958.0,2.4,NE,4281,15138,16445,20296,246677
Pasco,Washington,28.6,35298.0,32799.0,68097,2052.0,16265.0,3.45,WA,1054,2215,2265,38883,55741
Cincinnati,Ohio,32.7,143654.0,154883.0,298537,13699.0,16896.0,2.08,OH,3362,7633,133430,9121,162245
New Braunfels,Texas,37.0,33071.0,36852.0,69923,5204.0,5405.0,2.85,TX,648,1610,3471,22522,63789
Union City,New Jersey,35.4,35376.0,33773.0,69149,705.0,40553.0,2.85,NJ,545,4044,4686,53174,50031
Fontana,California,29.5,100644.0,106828.0,207472,4076.0,61448.0,4.15,CA,2656,14281,16986,156134,85044
Milwaukee,Wisconsin,31.6,286315.0,313839.0,600154,20615.0,58321.0,2.51,WI,10813,24832,248149,110335,297038
Racine,Wisconsin,33.7,39314.0,38423.0,77737,4650.0,4403.0,2.56,WI,1371,1175,20014,18215,52445
Santa Maria,California,30.1,53320.0,51762.0,105082,2876.0,39192.0,3.83,CA,1575,5058,1237,81551,90403
Marysville,Washington,33.2,33436.0,33337.0,66773,5714.0,7721.0,2.79,WA,3260,6185,1800,7142,58894
Inglewood,California,34.9,52995.0,58661.0,111656,2703.0,34171.0,3.12,CA,1395,2712,44991,60873,33966
Cedar Rapids,Iowa,36.2,63109.0,67296.0,130405,7823.0,5404.0,2.32,IA,1243,5406,11921,5328,116851
German,Maryland,34.9,41115.0,43007.0,84122,2443.0,27877.0,2.95,MD,1232,15921,22273,18202,43330
Highlands Ranch,Colorado,39.6,49186.0,53281.0,102467,4840.0,8827.0,2.72,CO,1480,5650,1779,8393,94499
Tustin,California,33.4,39511.0,41052.0,80563,2434.0,25034.0,3.27,CA,538,16074,2954,33998,39660
Kent,Washington,33.4,61825.0,65137.0,126962,7985.0,38175.0,3.06,WA,3651,26168,20450,21928,67918
Urban Honolulu,Hawaii,41.4,176807.0,175959.0,352766,23213.0,101312.0,2.69,HI,5592,240978,11781,24586,110508
Richmond,California,35.3,52615.0,57100.0,109715,3611.0,42215.0,2.87,CA,2348,20082,27434,45132,36074
Deltona,Florida,39.9,44853.0,43621.0,88474,5664.0,7098.0,2.89,FL,651,1292,12056,31357,75686
Kissimmee,Florida,36.7,33283.0,35869.0,69152,2449.0,16879.0,3.01,FL,0,2634,6623,44120,51123
Springfield,Massachusetts,31.8,74744.0,79592.0,154336,5723.0,16226.0,2.81,MA,2087,5606,35284,69209,97171
San Mateo,California,39.3,50966.0,52558.0,103524,2730.0,34957.0,2.64,CA,682,30573,2880,23151,62656
Fall River,Massachusetts,39.3,43314.0,45456.0,88770,4143.0,14775.0,2.21,MA,1481,1891,6389,9081,77242
Carmichael,California,41.0,29281.0,33934.0,63215,4225.0,7378.0,2.39,CA,2603,4205,4675,9291,55862
Lauderhill,Florida,35.7,32813.0,38761.0,71574,1965.0,25471.0,3.02,FL,1186,2662,56948,6089,10788
Worcester,Massachusetts,34.9,90951.0,93855.0,184806,9408.0,36907.0,2.43,MA,1917,15932,27491,39000,131898
Providence,Rhode Island,29.9,89090.0,90114.0,179204,4933.0,53532.0,2.72,RI,4171,13432,30638,77968,97885
Fayetteville,Arkansas,27.1,41959.0,40873.0,82832,4744.0,6313.0,2.28,AR,2058,4707,6927,5535,68830
Santa Rosa,California,37.9,86840.0,88149.0,174989,9101.0,33015.0,2.7,CA,8859,13496,7157,54578,138506
Union City,California,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46,CA,243,44849,5508,13207,16845
Lakeland,Florida,38.1,47840.0,56570.0,104410,7390.0,11592.0,2.56,FL,288,3348,25111,16501,75636
Boulder,Colorado,29.0,56342.0,51000.0,107342,4061.0,12993.0,2.24,CO,767,8772,1615,9795,98243
